date,ticker,action,price,shares,amount,cash_balance,total_value,strategy,confidence
2025-10-01,CASH,DEPOSIT,1.0,10000,10000.0,10000.0,10000.0,lstm,
2025-10-01,FDS,BUY,285.735844619751,3,857.207533859253,9142.792466140749,10000.0,lstm,0.5668
2025-10-01,STZ,BUY,137.9368691482544,7,965.5580840377808,8177.234382102966,10000.0,lstm,0.5668
2025-10-01,ICE,BUY,162.72131938934325,6,976.3279163360596,7200.906465766907,10000.0,lstm,0.5574
2025-10-01,ROP,BUY,497.3929508514405,1,497.3929508514405,6703.513514915467,10000.0,lstm,0.5569
2025-10-01,BALL,BUY,50.29133793640137,19,955.535420791626,5747.9780941238405,10000.0,lstm,0.554
2025-10-01,FIS,BUY,66.13923137283325,14,925.9492392196656,4822.028854904175,10000.0,lstm,0.5531
2025-10-01,JKHY,BUY,145.87581893920898,6,875.2549136352538,3946.7739412689216,10000.0,lstm,0.5519
2025-10-01,VRSK,BUY,249.6747780532837,3,749.024334159851,3197.7496071090704,10000.0,lstm,0.5517
2025-10-01,CL,BUY,78.52304469680786,12,942.2765363616944,2255.4730707473764,10000.0,lstm,0.5504
2025-10-01,CMG,BUY,38.98948622131348,25,974.7371555328368,1280.7359152145395,10000.0,lstm,0.5502
2025-10-01,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10000.0,lstm,
2025-10-02,VRSK,SELL,247.30627767944333,3,741.91883303833,2022.6547482528697,9998.91539290619,lstm,0.5522
2025-10-02,CMG,SELL,40.24986545753479,25,1006.2466364383696,3028.9013846912394,9998.91539290619,lstm,0.5491
2025-10-02,PAYX,BUY,122.29965228652954,12,1467.5958274383545,1561.305557252885,9998.91539290619,lstm,0.5539
2025-10-02,DLTR,BUY,90.2851178627014,16,1444.5618858032226,116.74367144966232,9998.91539290619,lstm,0.5523
2025-10-02,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9998.92,lstm,
2025-10-03,BALL,SELL,50.02206889152527,19,950.41930893898,1067.1629803886424,10027.947876008988,lstm,0.5506
2025-10-03,FIS,SELL,66.27180967712403,14,927.8053354797364,1994.9683158683788,10027.947876008988,lstm,0.5505
2025-10-03,KVUE,BUY,15.621127010822295,63,984.1310016818046,1010.8373141865742,10027.947876008988,lstm,0.553
2025-10-03,VRSK,BUY,249.16451328277589,3,747.4935398483276,263.3437743382466,10027.947876008988,lstm,0.5527
2025-10-03,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10027.95,lstm,
2025-10-06,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9908.68,lstm,
2025-10-07,ROP,SELL,510.3147223205567,1,510.3147223205567,773.6584966588032,10002.184915085318,lstm,0.5533
2025-10-07,VRSK,SELL,245.96695133972167,3,737.9008540191651,1511.5593506779685,10002.184915085318,lstm,0.5527
2025-10-07,SPGI,BUY,480.51586418151857,1,480.51586418151857,1031.0434864964498,10002.184915085318,lstm,0.5536
2025-10-07,TYL,BUY,485.9728759918213,1,485.9728759918213,545.0706105046285,10002.184915085318,lstm,0.5535
2025-10-07,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10002.18,lstm,
2025-10-08,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10066.56,lstm,
2025-10-09,STZ,SELL,141.78570010375978,7,992.4999007263184,1537.570511230947,10113.469889145375,lstm,0.5473
2025-10-09,CMCSA,BUY,30.09503992366791,50,1504.7519961833957,32.8185150475515,10113.469889145375,lstm,0.5549
2025-10-09,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10113.47,lstm,
2025-10-10,SPGI,SELL,484.9035756072998,1,484.9035756072998,517.7220906548513,10051.537341341496,lstm,0.5553
2025-10-10,KMB,BUY,118.1934055480957,4,472.7736221923828,44.9484684624685,10051.537341341496,lstm,0.5555
2025-10-10,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10051.54,lstm,
2025-10-13,JKHY,SELL,151.60744692993163,6,909.64468157959,954.5931500420584,10133.096318499089,lstm,0.5553
2025-10-13,SPGI,BUY,478.6386137695313,1,478.6386137695313,475.9545362725271,10133.096318499089,lstm,0.5575
2025-10-13,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10133.1,lstm,
2025-10-14,SPGI,SELL,485.49211785888673,1,485.49211785888673,961.446654131414,10242.764406992435,lstm,0.5557
2025-10-14,GEN,BUY,26.717743675231933,35,935.1210286331176,26.325625498296176,10242.764406992435,lstm,0.5563
2025-10-14,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10242.76,lstm,
2025-10-15,DLTR,SELL,95.92201622009276,16,1534.7522595214843,1561.0778850197803,10211.60138614893,lstm,0.5526
2025-10-15,KVUE,SELL,16.049693230628968,63,1011.130673529625,2572.2085585494056,10211.60138614893,lstm,0.5545
2025-10-15,SPGI,BUY,482.1734308319092,2,964.3468616638183,1607.8616968855872,10211.60138614893,lstm,0.5574
2025-10-15,DOV,BUY,162.2868218536377,7,1136.0077529754635,471.85394391012346,10211.60138614893,lstm,0.557
2025-10-15,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10211.6,lstm,
2025-10-16,TYL,SELL,496.2917385406494,1,496.2917385406494,968.1456824507728,10113.419972505097,lstm,0.5564
2025-10-16,SPGI,SELL,470.8881564025879,2,941.7763128051756,1909.9219952559488,10113.419972505097,lstm,0.5557
2025-10-16,DOV,SELL,165.58319786834716,7,1159.08238507843,3069.0043803343788,10113.419972505097,lstm,0.5561
2025-10-16,FISV,BUY,118.059,8,944.472,2124.532380334379,10113.419972505097,lstm,0.5581
2025-10-16,CSGP,BUY,74.38717347335816,13,967.033255153656,1157.4991251807228,10113.419972505097,lstm,0.5577
2025-10-16,BR,BUY,226.4931948852539,4,905.9727795410156,251.5263456397072,10113.419972505097,lstm,0.5572
2025-10-16,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10113.42,lstm,
2025-10-17,CL,SELL,79.08044274520874,12,948.9653129425049,1200.491658582212,10215.160096555235,lstm,0.5555
2025-10-17,SPGI,BUY,472.4976053466797,2,944.9952106933594,255.49644788885269,10215.160096555235,lstm,0.5577
2025-10-17,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10215.16,lstm,
2025-10-20,PAYX,SELL,125.31549236679078,12,1503.7859084014897,1759.2823562903422,10288.803687421325,lstm,0.5555
2025-10-20,SPGI,SELL,476.4145361175537,2,952.8290722351074,2712.11142852545,10288.803687421325,lstm,0.5557
2025-10-20,CTAS,BUY,191.96534999084471,6,1151.7920999450682,1560.3193285803816,10288.803687421325,lstm,0.5567
2025-10-20,HON,BUY,193.12510926818848,6,1158.750655609131,401.5686729712506,10288.803687421325,lstm,0.5565
2025-10-20,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10288.8,lstm,
2025-10-21,FDS,SELL,292.79728422546384,3,878.3918526763915,1279.960525647642,10435.51451571417,lstm,0.5523
2025-10-21,CTAS,SELL,195.9214604797363,6,1175.528762878418,2455.48928852606,10435.51451571417,lstm,0.5545
2025-10-21,HON,SELL,195.78816534423828,6,1174.7289920654298,3630.21828059149,10435.51451571417,lstm,0.5542
2025-10-21,SPGI,BUY,483.0821185913086,2,966.1642371826172,2664.0540434088725,10435.51451571417,lstm,0.5569
2025-10-21,APD,BUY,254.83736171722413,4,1019.3494468688964,1644.704596539976,10435.51451571417,lstm,0.5559
2025-10-21,CARR,BUY,59.620657705307,20,1192.4131541061402,452.291442433836,10435.51451571417,lstm,0.5547
2025-10-21,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10435.51,lstm,
2025-10-22,CARR,SELL,56.49440178489685,20,1129.888035697937,1582.179478131773,10324.869899312498,lstm,0.5532
2025-10-22,CTAS,BUY,193.173061088562,8,1545.384488708496,36.794989423277,10324.869899312498,lstm,0.5563
2025-10-22,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10324.87,lstm,
2025-10-23,KMB,SELL,117.27540126419068,4,469.1016050567627,505.8965944800397,10310.94678385687,lstm,0.554
2025-10-23,CARR,BUY,56.92965375709534,8,455.4372300567627,50.45936442327701,10310.94678385687,lstm,0.5542
2025-10-23,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10310.95,lstm,
2025-10-24,SPGI,SELL,488.24534870910645,2,976.4906974182128,1026.95006184149,10332.24000979376,lstm,0.5516
2025-10-24,CARR,SELL,57.58963712692261,8,460.7170970153809,1487.6671588568709,10332.24000979376,lstm,0.5526
2025-10-24,KMB,BUY,117.56077280044556,6,705.3646368026734,782.3025220541974,10332.24000979376,lstm,0.5544
2025-10-24,TMUS,BUY,216.80477460479736,3,650.4143238143921,131.88819823980532,10332.24000979376,lstm,0.5527
2025-10-24,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10332.24,lstm,
2025-10-27,FISV,SELL,126.47673091506958,8,1011.8138473205566,1143.702045560362,10355.16197906256,lstm,0.5518
2025-10-27,KMB,SELL,119.11214417648316,6,714.6728650588989,1858.3749106192608,10355.16197906256,lstm,0.5525
2025-10-27,VRSK,BUY,233.7968326721191,3,701.3904980163575,1156.9844126029034,10355.16197906256,lstm,0.5542
2025-10-27,CARR,BUY,58.0957600479126,15,871.436400718689,285.5480118842144,10355.16197906256,lstm,0.5525
2025-10-27,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10355.16,lstm,
2025-10-28,CARR,SELL,58.48574570274353,15,877.2861855411529,1162.8341974253672,10323.864931210996,lstm,0.5492
2025-10-28,ADP,BUY,279.7698198852539,4,1119.0792795410157,43.75491788435147,10323.864931210996,lstm,0.5524
2025-10-28,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10323.86,lstm,
2025-10-29,VRSK,SELL,207.896,3,623.688,667.4429178843515,9842.406023765088,lstm,0.5529
2025-10-29,EOG,BUY,106.053,6,636.318,31.12491788435148,9842.406023765088,lstm,0.553
2025-10-29,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9842.41,lstm,
2025-10-30,EOG,SELL,105.40726908493042,6,632.4436145095825,663.568532393934,9741.109706779003,lstm,0.5521
2025-10-30,PGR,BUY,207.0734862213135,3,621.2204586639405,42.34807372999353,9741.109706779003,lstm,0.5537
2025-10-30,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9741.11,lstm,
2025-10-31,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9725.75,lstm,
2025-11-03,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9624.05,lstm,
2025-11-04,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9710.05,lstm,
2025-11-05,CTAS,SELL,185.2723534927368,8,1482.1788279418945,1524.526901671888,9716.266380080702,lstm,0.5548
2025-11-05,VRSN,BUY,243.40058539581293,6,1460.403512374878,64.12338929701014,9716.266380080702,lstm,0.5552
2025-11-05,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9716.27,lstm,
2025-11-06,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9653.63,lstm,
2025-11-07,GEN,SELL,25.63653025722504,35,897.2785590028762,961.4019482998864,9760.69107919264,lstm,0.558
2025-11-07,LIN,BUY,419.1764940032959,2,838.3529880065918,123.0489602932946,9760.69107919264,lstm,0.5587
2025-11-07,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9760.69,lstm,
2025-11-10,APD,SELL,258.30077767944334,4,1033.2031107177734,1156.252071011068,9779.37385424471,lstm,0.5558
2025-11-10,PAYX,BUY,111.53574335861208,10,1115.3574335861206,40.894637424947405,9779.37385424471,lstm,0.559
2025-11-10,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9779.37,lstm,
2025-11-11,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9873.54,lstm,
2025-11-12,PGR,SELL,221.7590601196289,3,665.2771803588868,706.1718177838342,9934.185508091452,lstm,0.5567
2025-11-12,RSG,BUY,205.25256889343265,3,615.7577066802978,90.41411110353636,9934.185508091452,lstm,0.5597
2025-11-12,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9934.19,lstm,
2025-11-13,VRSN,SELL,250.61056343078613,6,1503.6633805847168,1594.0774916882533,9952.030592884545,lstm,0.5574
2025-11-13,PAYC,BUY,164.36131439208984,9,1479.2518295288085,114.82566215944485,9952.030592884545,lstm,0.5574
2025-11-13,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9952.03,lstm,
2025-11-14,BR,SELL,225.94696755981445,4,903.7878702392578,1018.6135323987028,9934.734853291036,lstm,0.5559
2025-11-14,POOL,BUY,242.4411673278809,4,969.7646693115234,48.84886308717921,9934.734853291036,lstm,0.56
2025-11-14,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9934.73,lstm,
2025-11-17,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9822.37,lstm,
2025-11-18,ICE,SELL,152.70360877990723,6,916.2216526794434,965.0705157666226,9814.355912647728,lstm,0.5576
2025-11-18,CMCSA,SELL,27.346320610046387,50,1367.316030502319,2332.386546268942,9814.355912647728,lstm,0.5587
2025-11-18,MSI,BUY,372.5461653442383,3,1117.6384960327148,1214.748050236227,9814.355912647728,lstm,0.5611
2025-11-18,CLX,BUY,100.19006938934326,11,1102.090763282776,112.65728695345116,9814.355912647728,lstm,0.5589
2025-11-18,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9814.36,lstm,
2025-11-19,RSG,SELL,217.3612662200928,3,652.0837986602783,764.7410856137294,9752.67974789095,lstm,0.5578
2025-11-19,CMCSA,BUY,26.883435839653018,28,752.7362035102844,12.00488210344497,9752.67974789095,lstm,0.56
2025-11-19,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9752.68,lstm,
2025-11-20,CMCSA,SELL,26.616684161186217,28,745.2671565132141,757.2720386166591,9691.27492452288,lstm,0.5584
2025-11-20,CHTR,BUY,194.80736171722413,3,584.4220851516724,172.8499534649867,9691.27492452288,lstm,0.5595
2025-11-20,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9691.27,lstm,
2025-11-21,TMUS,SELL,208.3430572433472,3,625.0291717300415,797.8791251950282,9896.867684177878,lstm,0.5552
2025-11-21,CHTR,SELL,202.8985,3,608.6955,1406.574625195028,9896.867684177878,lstm,0.5589
2025-11-21,PTC,BUY,172.2060551147461,4,688.8242204589844,717.7504047360437,9896.867684177878,lstm,0.5598
2025-11-21,CMCSA,BUY,27.36367538166046,25,684.0918845415115,33.65852019453223,9896.867684177878,lstm,0.5591
2025-11-21,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9896.87,lstm,
2025-11-24,PTC,SELL,170.07492366027833,4,680.2996946411133,713.9582148356455,9812.776905509474,lstm,0.5587
2025-11-24,CMCSA,SELL,26.44676908493042,25,661.1692271232605,1375.127441958906,9812.776905509474,lstm,0.5573
2025-11-24,CHTR,BUY,199.17954183197023,3,597.5386254959107,777.5888164629954,9812.776905509474,lstm,0.5609
2025-11-24,WY,BUY,21.317729038238525,31,660.8496001853943,116.73921627760114,9812.776905509474,lstm,0.5587
2025-11-24,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9812.78,lstm,
2025-11-25,WY,SELL,21.920165797233583,31,679.525139714241,796.2643559918422,9996.251162002089,lstm,0.5595
2025-11-25,PTC,BUY,173.52672244262695,4,694.1068897705078,102.1574662213344,9996.251162002089,lstm,0.5617
2025-11-25,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9996.25,lstm,
2025-11-26,CSGP,SELL,67.78608969497681,13,881.2191660346986,983.376632256033,9939.524127293113,lstm,0.5568
2025-11-26,HD,BUY,353.3622617797852,2,706.7245235595703,276.6521086964626,9939.524127293113,lstm,0.5596
2025-11-26,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9939.52,lstm,
2025-11-28,CLX,SELL,107.88603244018556,11,1186.746356842041,1463.3984655385036,9965.023644951343,lstm,0.5581
2025-11-28,CMCSA,BUY,26.703345534324647,54,1441.980658853531,21.417806684972675,9965.023644951343,lstm,0.559
2025-11-28,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9965.02,lstm,
2025-12-01,CMCSA,SELL,26.5667099237442,54,1434.602335882187,1456.0201425671596,9947.017358839514,lstm,0.557
2025-12-01,LYV,BUY,131.16555610656738,10,1311.6555610656735,144.36458150148587,9947.017358839514,lstm,0.5579
2025-12-01,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9947.02,lstm,
2025-12-02,LYV,SELL,128.47572328948974,10,1284.7572328948972,1429.1218143963831,9952.60425130129,lstm,0.5569
2025-12-02,CMCSA,BUY,27.033510457992552,52,1405.7425438156126,23.37927058077048,9952.60425130129,lstm,0.5571
2025-12-02,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9952.6,lstm,
2025-12-03,ADP,SELL,260.0898912200928,4,1040.3595648803712,1063.7388354611417,10055.429212597372,lstm,0.5556
2025-12-03,CMCSA,SELL,27.41628530502319,52,1425.646835861206,2489.385671322348,10055.429212597372,lstm,0.5543
2025-12-03,CPRT,BUY,38.86942347335816,31,1204.9521276741027,1284.433543648245,10055.429212597372,lstm,0.5581
2025-12-03,LYV,BUY,136.07799950408935,9,1224.701995536804,59.731548111440816,10055.429212597372,lstm,0.5568
2025-12-03,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10055.43,lstm,
2025-12-04,PAYX,SELL,111.71411164474488,10,1117.141116447449,1176.8726645588897,10038.501418869497,lstm,0.5541
2025-12-04,LYV,SELL,139.61015267944336,9,1256.4913741149903,2433.36403867388,10038.501418869497,lstm,0.5536
2025-12-04,VICI,BUY,28.014,42,1176.588,1256.7760386738798,10038.501418869497,lstm,0.5586
2025-12-04,MOS,BUY,24.11205038166046,49,1181.4904687013625,75.28556997251735,10038.501418869497,lstm,0.5543
2025-12-04,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10038.5,lstm,
2025-12-05,PTC,SELL,173.4332442703247,4,693.7329770812988,769.0185470538162,9987.625711268904,lstm,0.5521
2025-12-05,PAYX,BUY,112.11602755737304,6,672.6961653442382,96.32238170957794,9987.625711268904,lstm,0.5529
2025-12-05,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9987.63,lstm,
2025-12-08,PAYX,SELL,112.39377194976808,6,674.3626316986084,770.6850134081864,9922.90234539366,lstm,0.5487
2025-12-08,PTC,BUY,174.49720866394043,4,697.9888346557617,72.69617875242466,9922.90234539366,lstm,0.5527
2025-12-08,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9922.9,lstm,
2025-12-09,PAYC,SELL,162.61864694976808,9,1463.5678225479128,1536.2640013003374,9887.846037227157,lstm,0.5473
2025-12-09,AJG,BUY,240.0299586639404,6,1440.1797519836423,96.08424931669492,9887.846037227157,lstm,0.5485
2025-12-09,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9887.85,lstm,
2025-12-10,PTC,SELL,175.5721736602783,4,702.2886946411132,798.3729439578082,9987.98422795439,lstm,0.5475
2025-12-10,SO,BUY,84.12204183197022,9,757.098376487732,41.274567470076136,9987.98422795439,lstm,0.5512
2025-12-10,PORTFOLIO,VALUE,1.0,0,0.0,0.0,9987.98,lstm,
2025-12-11,CHTR,SELL,211.9539675598145,3,635.8619026794433,677.1364701495195,10135.269308909896,lstm,0.5443
2025-12-11,IRM,BUY,88.07401377868652,7,616.5180964508056,60.61837369871387,10135.269308909896,lstm,0.5464
2025-12-11,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10135.27,lstm,
2025-12-12,MOS,SELL,26.19689408493042,49,1283.6478101615903,1344.2661838603044,10201.236736125473,lstm,0.5429
2025-12-12,IRM,SELL,82.44475706100464,7,577.1132994270324,1921.3794832873368,10201.236736125473,lstm,0.5448
2025-12-12,DUK,BUY,115.3576530532837,8,922.8612244262696,998.5182588610672,10201.236736125473,lstm,0.5456
2025-12-12,PPL,BUY,34.00699667930603,27,918.1889103412628,80.32934851980451,10201.236736125473,lstm,0.5455
2025-12-12,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10201.24,lstm,
2025-12-15,HD,SELL,356.8114952392578,2,713.6229904785156,793.9523389983201,10227.04566474295,lstm,0.541
2025-12-15,AJG,SELL,256.0619074401856,6,1536.3714446411134,2330.3237836394337,10227.04566474295,lstm,0.5427
2025-12-15,WEC,BUY,105.31263213729858,10,1053.1263213729858,1277.197462266448,10227.04566474295,lstm,0.5461
2025-12-15,IRM,BUY,82.48122244262696,13,1072.2558917541503,204.9415705122974,10227.04566474295,lstm,0.5455
2025-12-15,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10227.05,lstm,
2025-12-16,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10185.27,lstm,
2025-12-17,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10252.56,lstm,
2025-12-18,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10246.91,lstm,
2025-12-19,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10158.72,lstm,
2025-12-22,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10229.74,lstm,
2025-12-26,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10306.07,lstm,
2025-12-29,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10330.64,lstm,
2025-12-31,PORTFOLIO,VALUE,1.0,0,0.0,0.0,10318.42,lstm,
